TrainingID,CACNumber,TrainingType,AssignedDate,DueDate,TrainingStatus,Score
8028,1018,Foreign Travel Security Training,2025-10-28 07:20:48.979591,2026-01-26 07:20:48.979591,Overdue,96
8029,1024,Controlled Unclassified Information (CUI) Training,2025-11-08 10:17:08.571428,2026-02-06 10:17:08.571428,Overdue,86
8030,1017,Annual Security Awareness Training,2025-11-19 13:13:28.163265,2026-02-17 13:13:28.163265,Completed,96
8031,1013,Controlled Unclassified Information (CUI) Training,2025-11-30 16:09:47.755102,2026-02-28 16:09:47.755102,Completed,90
8032,1043,Insider Threat Awareness,2025-12-11 19:06:07.346938,2026-03-11 19:06:07.346938,Overdue,95
8033,1042,Insider Threat Awareness,2025-12-22 22:02:26.938775,2026-03-22 22:02:26.938775,Completed,84
8034,1029,Controlled Unclassified Information (CUI) Training,2026-01-03 00:58:46.530612,2026-04-03 00:58:46.530612,Completed,87
8035,1014,Insider Threat Awareness,2026-01-14 03:55:06.122448,2026-04-14 03:55:06.122448,Completed,76
8036,1010,Foreign Travel Security Training,2026-01-25 06:51:25.714285,2026-04-25 06:51:25.714285,Completed,95
8037,1036,Annual Security Awareness Training,2026-02-05 09:47:45.306122,2026-05-06 09:47:45.306122,Completed,84
8038,1034,Annual Security Awareness Training,2026-02-16 12:44:04.897959,2026-05-17 12:44:04.897959,Completed,86
8039,1024,Insider Threat Awareness,2026-02-27 15:40:24.489795,2026-05-28 15:40:24.489795,In Progress,88
8040,1038,Foreign Travel Security Training,2026-03-10 18:36:44.081632,2026-06-08 18:36:44.081632,Overdue,78
8041,1029,Cybersecurity Awareness,2026-03-21 21:33:03.673469,2026-06-19 21:33:03.673469,Completed,90
8042,1009,Annual Security Awareness Training,2026-04-02 00:29:23.265306,2026-07-01 00:29:23.265306,Overdue,75
8043,1036,Controlled Unclassified Information (CUI) Training,2026-04-13 03:25:42.857142,2026-07-12 03:25:42.857142,Completed,92
8044,1044,Cybersecurity Awareness,2026-04-24 06:22:02.448979,2026-07-23 06:22:02.448979,In Progress,80
8045,1006,Foreign Travel Security Training,2026-05-05 09:18:22.040816,2026-08-03 09:18:22.040816,Completed,82
8046,1041,Annual Security Awareness Training,2026-05-16 12:14:41.632653,2026-08-14 12:14:41.632653,Completed,83
8047,1016,Annual Security Awareness Training,2026-05-27 15:11:01.224489,2026-08-25 15:11:01.224489,Completed,94
8048,1017,Cybersecurity Awareness,2026-06-07 18:07:20.816326,2026-09-05 18:07:20.816326,Overdue,79
8049,1030,Controlled Unclassified Information (CUI) Training,2026-06-18 21:03:40.408163,2026-09-16 21:03:40.408163,In Progress,93
8050,1017,Controlled Unclassified Information (CUI) Training,2026-06-30 00:00:00.000000,2026-09-28 00:00:00.000000,Completed,87
